🕘️更新时间,#genre#
2025-09-17 06:24:00,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8

📺央视频道,#genre#
CCTV-4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CETV-1,http://113.106.171.234:8899/rtp/239.20.0.213:2224
CETV-1,http://221.10.226.195:5000/rtp/239.0.0.51:5140
CETV-1,http://111.127.156.228:51234/rtp/239.29.0.95:5000
CETV-1,http://117.174.25.254:8188/rtp/239.0.0.51:5140
CETV-1,http://106.116.243.22:9999/rtp/239.254.200.225:6259
CETV-1,http://218.8.87.96:4000/rtp/229.58.190.57:5000
CETV-1,http://223.167.230.154:4022/rtp/239.45.1.125:5140
CETV-1,http://114.107.46.94:8188/rtp/238.1.78.158:7136
CETV-1,http://113.56.95.223:8889/rtp/228.0.0.146:7146
CETV-1,http://171.113.216.147:4022/rtp/239.69.1.110:10298
CETV-2,http://116.234.77.27:4022/rtp/239.45.1.52:5140
CETV-2,http://114.241.255.166:4022/rtp/239.3.1.54:4120
CETV-2,http://112.109.206.106:9999/rtp/239.255.40.30:8208
CETV-2,http://223.167.245.215:8001/rtp/239.45.1.52:5140
CETV-4,http://221.10.226.195:5000/rtp/239.0.0.98:5140
CETV-4,http://106.116.243.22:9999/rtp/239.254.200.227:6261
CETV-4,http://121.29.141.59:4022/rtp/239.253.92.200:6137
CETV-4,http://116.234.77.27:4022/rtp/239.45.1.50:5140

📡卫视频道,#genre#
广东卫视,http://satellitepull.cnr.cn/live/wxgdws/playlist.m3u8
湖南卫视,http://kbtv.zkbhj.com/liveRedirect/hotel.php?p=sdjn&id=32
湖南卫视,http://iptv.zkbhj.com/tv/url/go?id=67dd4562b4ce4edb1bc5eee87631bd5914bf8f16591693233093c5c91974172cc82774ab2cba0c3ab0060596ffb0adc68b159ebdfc0a79d0e46bdfab58d3819e
北京卫视,http://kbtv.zkbhj.com/liveRedirect/hotel.php?p=sdjn&id=36
黑龙江卫视,http://iptv.zkbhj.com/tv/url/go?id=e6fa911b199dc9d2d6418f6b1508847614bf8f16591693233093c5c91974172cc82774ab2cba0c3ab0060596ffb0adc68b159ebdfc0a79d0e46bdfab58d3819e
重庆卫视,http://iptv.zkbhj.com/tv/url/go?id=d6e23dbdf0d35a4936a2d6615c1a3c2b14bf8f16591693233093c5c91974172cc82774ab2cba0c3ab0060596ffb0adc68b159ebdfc0a79d0e46bdfab58d3819e
东方卫视,http://iptv.zkbhj.com/tv/url/go?id=5807dd9aa7a50a68f5e3768116930afc361263489f88b1366196c2b8afd5fcddd943122389bb700795c25be7c9ca897cb45f3654cdddb6eafd540446f22c4cc9
东南卫视,http://satellitepull.cnr.cn/live/wx32fjws/playlist.m3u8
东南卫视,http://kbtv.zkbhj.com/liveRedirect/hotel.php?p=sdjn&id=41
甘肃卫视,http://satellitepull.cnr.cn/live/wxgsws/playlist.m3u8
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws
河南卫视,http://satellitepull.cnr.cn/live/wxhnws/playlist.m3u8
河南卫视,http://iptv.zkbhj.com/tv/url/go?id=540be5a7f351d5b11ba13983cdad8be5cc0f8547e764183236422572d6c3f85fc82774ab2cba0c3ab0060596ffb0adc68b159ebdfc0a79d0e46bdfab58d3819e
河南卫视,http://116.234.77.27:4022/rtp/239.45.0.3:5140
河南卫视,http://223.167.230.154:4022/rtp/239.45.0.3:5140
河南卫视,http://223.167.245.215:8001/rtp/239.45.0.3:5140
河南卫视,http://180.165.12.90:4022/rtp/239.45.0.3:5140
河南卫视,http://180.165.6.184:4022/rtp/239.45.0.3:5140
河南卫视,http://180.165.1.43:9898/rtp/239.45.0.3:5140
吉林卫视,http://satellitepull.cnr.cn/live/wxjlws/playlist.m3u8
山东卫视,http://satellitepull.cnr.cn/live/wxsdws/playlist.m3u8
三沙卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=ssws&?key=txiptv
西藏卫视,http://xxwx.yoesun.com/xxw/西藏网.php?id=ws&key=txiptv
云南卫视,http://180.154.61.39:4022/rtp/239.45.0.4:5140
云南卫视,http://116.234.77.27:4022/rtp/239.45.0.4:5140
云南卫视,http://180.165.6.184:4022/rtp/239.45.0.4:5140
云南卫视,http://180.165.1.43:9898/rtp/239.45.0.4:5140
云南卫视,http://180.165.12.90:4022/rtp/239.45.0.4:5140

☘️上海频道,#genre#
五星体育,http://61.173.162.228:4022/rtp/239.45.3.210:5140
上海第一财经,https://satellitepull.cnr.cn/live/wx32dycjgb/playlist.m3u8
全纪实,http://139.196.151.191/rtp/239.45.3.135:5140

🌊港·澳·台,#genre#
翡翠台,https://cdn.iptv8k.top/dl/jrys.php?id=3&time=20240926215313&ip=111.229.253.40『线路08』
凤凰中文,https://cdn.iptv8k.top/dl/jrys.php?id=19&time=20240926215313&ip=111.229.253.40
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_audio.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_audio.m3u8
凤凰资讯,http://zqh2333.top:2222/rtp/239.93.24.4:2191
凤凰香港,https://cdn.iptv8k.top/dl/jrys.php?id=18&time=20240926215313&ip=111.229.253.40
凤凰香港,http://tri-metal.dsmynas.net:8001/bysid/85.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
纬来体育,https://cdn.iptv8k.top/dl/jrys.php?id=292&amp;amp;time=20240926215313&amp;amp;ip=111.229.253.40
纬来育乐,https://cdn.iptv8k.top/dl/jrys.php?id=289&time=20240926215313&ip=111.229.253.40
Viutv,https://cdn.iptv8k.top/dl/jrys.php?id=78&time=20240926215313&ip=111.229.253.40
Viutv,https://turkmedya-live.ercdn.net/tv360/tv360.m3u8
三立台湾,https://cdn.iptv8k.top/dl/jrys.php?id=269&time=20240926215313&ip=111.229.253.40
三立新闻,https://cdn.iptv8k.top/dl/jrys.php?id=273&time=20240926215313&ip=111.229.253.40
东森综合,https://cdn.iptv8k.top/dl/jrys.php?id=221&amp;time=20240926215313&amp;ip=111.229.253.40
东森综合,http://iptv.4666888.xyz/iptv.php?id=20206
东森超视,https://cdn.iptv8k.top/dl/jrys.php?id=216&time=20240926215313&ip=111.229.253.40#rtmp://f13h.mine.nu/sat/tv331#rtmp://f13h.mine.nu/sat/tv331
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
东森电影,https://cdn.iptv8k.top/dl/jrys.php?id=231&time=20240926215313&ip=111.229.253.40
靖天资讯,https://cdn.iptv8k.top/dl/jrys.php?id=315&time=20240926215313&ip=111.229.253.40

🎥咪咕直播,#genre#

🏀体育频道,#genre#
体育赛事,http://139.129.231.228:50060/rtp/239.21.2.44:5002
山东体育,https://satellitepull.cnr.cn/live/wxsdtyxxgb/playlist.m3u8
山东体育,http://123.168.95.21:4000/rtp/239.21.1.141:5002
天津体育,http://111.162.205.19:8686/rtp/225.1.1.122:5002
天津体育,http://180.213.170.24:8188/rtp/239.5.1.3:5000
睛彩广场舞,http://114.254.39.135:18888/rtp/239.3.1.128:8001
睛彩广场舞,http://112.109.206.106:9999/rtp/239.255.40.210:8208
快乐垂钓,http://111.196.133.168:8012/rtp/239.3.1.164:8001
